Materials,CAS,smiles,Compounds,MR,PU,EPE,Paper,T,group
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.521526772,1,0,0,5,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.614530325,1,0,0,25,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.710494379,1,0,0,40,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,0.415107647,1,0,0,5,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,1.123676283,1,0,0,25,test
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,0.912441047,1,0,0,40,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,0.236799547,1,0,0,5,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,0.627120684,1,0,0,25,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,0.56513163,1,0,0,40,training
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.546596135,1,0,0,5,test
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.821340651,1,0,0,25,training
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.821115249,1,0,0,40,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,0.090179594,1,0,0,5,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,0.061671792,1,0,0,25,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,0.331746538,1,0,0,40,test
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.375986788,1,0,0,5,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.631764778,1,0,0,25,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.678287599,1,0,0,40,training
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,0.04487825,1,0,0,5,training
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,0.190303717,1,0,0,25,test
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,0.406384662,1,0,0,40,training
PU,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC ,UV-328,0.084654999,1,0,0,5,training
PU,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC  ,UV-328,0.082001232,1,0,0,25,training
PU,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC  ,UV-328,0.250734372,1,0,0,40,training
PU,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC  ,DBP,0.385262055,1,0,0,5,test
PU,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC  ,DBP,0.420653011,1,0,0,25,training
