Materials,CAS,smiles,Compounds,logτ,PU,EPE,Paper,T,group
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,1.638489257,1,0,0,5,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.610660163,1,0,0,25,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,-0.793174124,1,0,0,40,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,2.040997692,1,0,0,5,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,1.682145076,1,0,0,25,test
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,1.017033339,1,0,0,40,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,2.049218023,1,0,0,5,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,1.822821645,1,0,0,25,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,1.665580991,1,0,0,40,training
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,1.946943271,1,0,0,5,test
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.890979597,1,0,0,25,training
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.609594409,1,0,0,40,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,1.95616843,1,0,0,5,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,1.730782276,1,0,0,25,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,1.73239376,1,0,0,40,test
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,1.907948522,1,0,0,5,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,1.071882007,1,0,0,25,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,1.021189299,1,0,0,40,training
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,2.045714059,1,0,0,5,training
